,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
467,Imbituba,BR,-28.24,-48.6703,69.69,93,100,9.28,overcast clouds
468,Chelno-Vershiny,RU,54.4333,51.1,51.71,93,100,17.11,overcast clouds
469,Namanga,KE,-2.5433,36.7905,80.02,36,83,10.54,broken clouds
470,Olenino,RU,56.2092,33.4889,64.69,66,97,11.61,overcast clouds
471,Uray,RU,60.1247,64.7758,55.69,68,92,9.98,overcast clouds
472,Balkanabat,TM,39.5108,54.3671,86.83,21,8,4.52,clear sky
473,Mabaruma,GY,8.2,-59.7833,73.8,99,100,1.57,overcast clouds
474,Ylojarvi,FI,61.5563,23.5961,53.62,71,75,4.61,broken clouds
475,Damietta,EG,31.4165,31.8133,84.43,64,3,14.9,clear sky
476,Strezhevoy,RU,60.7333,77.5889,51.78,50,100,9.44,overcast clouds
477,Loubomo,CG,-4.1997,12.6739,98.11,30,20,1.07,few clouds
478,Nioro,GM,13.35,-15.75,89.38,64,46,5.12,scattered clouds
479,Maxixe,MZ,-23.8597,35.3472,80.42,57,40,13.8,scattered clouds
480,Namibe,AO,-15.1961,12.1522,74.46,71,16,11.81,few clouds
481,Llangefni,GB,53.2556,-4.3106,69.58,81,75,8.05,broken clouds
482,Talnakh,RU,69.4865,88.3972,50.07,92,100,2.98,overcast clouds
483,Makokou,GA,0.5738,12.8642,89.94,55,75,0.0,broken clouds
484,Ballitoville,ZA,-29.539,31.2144,73.54,60,20,10.36,few clouds
485,Villamontes,BO,-21.25,-63.5,62.04,72,90,0.0,overcast clouds
486,Asilah,MA,35.465,-6.0348,84.06,70,14,10.02,few clouds
487,Nurota,UZ,40.5614,65.6886,80.69,15,0,17.25,clear sky
488,Anuppur,IN,23.1,81.6833,80.49,82,73,4.12,light rain
489,Trincomalee,LK,8.5711,81.2335,84.36,75,86,7.58,overcast clouds
490,Campoverde,PE,-8.4753,-74.8058,72.18,94,58,2.39,broken clouds
491,Inta,RU,66.0317,60.1659,44.76,84,100,11.52,overcast clouds
492,Dabakala,CI,8.3667,-4.4333,84.74,66,98,7.99,light rain
493,Tutoia,BR,-2.7619,-42.2744,83.66,61,69,12.84,broken clouds
494,Kruszwica,PL,52.6756,18.3313,79.05,31,45,16.24,scattered clouds
495,Akdepe,TM,42.0551,59.3788,77.09,15,23,14.0,few clouds
496,Omboue,GA,-1.5746,9.2618,81.95,68,88,10.2,overcast clouds
497,Mahanoro,MG,-19.9,48.8,75.49,66,0,9.69,clear sky
498,Aleksandrov Gay,RU,50.147,48.5704,73.08,25,17,18.59,few clouds
499,Westport,US,41.1415,-73.3579,72.81,95,96,1.01,moderate rain
500,Le Port,RE,-20.9373,55.2919,76.96,64,14,2.06,few clouds
501,Cururupu,BR,-1.8283,-44.8683,80.82,73,55,6.87,broken clouds
502,Markala,ML,13.7021,-6.0659,91.76,44,93,8.03,overcast clouds
503,Saint-Gilles,FR,43.6766,4.4302,89.55,39,100,3.44,overcast clouds
504,Garbolovo,RU,60.3413,30.4955,61.79,95,91,5.57,light rain
505,Tafresh,IR,34.692,50.013,79.43,21,0,12.15,clear sky
506,Tavricheskoye,RU,54.5851,73.6395,55.31,58,95,12.8,overcast clouds
507,Boa Viagem,BR,-5.1275,-39.7322,83.79,44,52,9.19,broken clouds
508,Diu,IN,20.7141,70.9822,81.77,85,100,13.31,overcast clouds
509,Sarh,TD,9.1429,18.3923,91.31,55,40,4.61,light rain
510,Beloha,MG,-25.1667,45.05,78.87,41,0,14.38,clear sky
511,Rodino,RU,52.5,80.25,61.57,31,85,14.76,overcast clouds
512,Guane,CU,22.2025,-84.0875,76.87,90,88,4.92,overcast clouds
513,Novopokrovka,UA,49.8425,36.5477,77.38,24,37,8.37,scattered clouds
514,Tekeli,KZ,44.83,78.8239,68.36,35,89,8.55,overcast clouds
515,Uyemskiy,RU,64.4743,40.8524,48.25,71,40,11.18,scattered clouds
516,Gazli,UZ,40.1333,63.45,85.87,11,0,17.98,clear sky
517,Pallisa,UG,1.145,33.7094,81.0,49,62,6.85,broken clouds
518,Lappersdorf,DE,49.0569,12.09,79.03,57,2,3.0,clear sky
519,Srisailam,IN,16.0833,78.8667,79.38,76,84,9.64,broken clouds
520,Novovoronezh,RU,51.3072,39.2173,73.85,28,63,13.98,broken clouds
521,Noeux-Les-Mines,FR,50.4801,2.6657,81.82,67,87,9.8,light rain
522,Shihezi,CN,44.3,86.0333,85.3,20,15,19.75,few clouds
523,Randolph,US,35.7001,-79.8164,72.0,98,90,0.0,overcast clouds
524,Havelock,US,34.8791,-76.9013,77.95,93,60,1.99,broken clouds
525,Mvangue,CM,2.9667,11.5167,88.92,43,43,3.31,scattered clouds
526,Adre,TD,13.4667,22.2,89.96,41,94,5.06,overcast clouds
527,Bulawayo,ZW,-20.15,28.5833,79.61,31,42,12.82,scattered clouds
528,Zambezi,ZM,-13.5432,23.1047,96.85,9,0,8.37,clear sky
529,Cuamba,MZ,-14.8031,36.5372,87.91,27,33,6.89,scattered clouds
530,Chlorakas,CY,34.8042,32.4083,89.55,55,20,17.27,few clouds
531,San Borja,BO,-14.8167,-66.85,70.65,87,89,6.91,overcast clouds
532,Itarema,BR,-2.9248,-39.9167,82.29,63,97,15.23,overcast clouds
533,Sorland,NO,67.667,12.6934,51.66,71,84,13.91,broken clouds
534,Zhezkazgan,KZ,47.8043,67.7144,66.38,16,10,10.25,clear sky
535,Quatre Cocos,MU,-20.2078,57.7625,74.08,73,53,13.06,light rain
536,Ziway,ET,7.9333,38.7167,61.39,91,100,7.09,moderate rain
537,Pitimbu,BR,-7.4706,-34.8086,82.99,69,61,13.15,broken clouds
538,Barranca,PE,-10.75,-77.7667,60.12,91,97,6.26,overcast clouds
539,Kamenka,RU,51.3223,42.7678,69.93,38,87,16.2,overcast clouds
540,Mapiri,BO,-15.25,-68.1667,69.46,95,97,0.4,overcast clouds
541,Shonguy,RU,68.7526,33.146,46.47,66,75,11.18,broken clouds
542,Skibbereen,IE,51.55,-9.2667,64.2,89,97,6.33,overcast clouds
543,Mamallapuram,IN,12.6264,80.1722,93.25,64,87,10.25,overcast clouds
544,Santa Ana,US,33.7456,-117.8678,81.63,84,1,0.0,clear sky
545,Los Andes,CL,-32.8337,-70.5983,38.97,29,3,2.75,clear sky
546,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,76.89,67,86,8.48,overcast clouds
547,Cartagena,CO,10.3997,-75.5144,82.02,100,20,3.44,haze
548,Aquiraz,BR,-3.9014,-38.3911,84.29,51,69,14.88,broken clouds
549,Coruripe,BR,-10.1256,-36.1756,79.83,67,65,9.44,broken clouds
550,Pombas,CV,17.1503,-25.0201,82.18,78,14,9.42,few clouds
551,Kautokeino,NO,69.0125,23.0412,47.25,66,94,10.31,overcast clouds
552,Marienburg,PL,54.0359,19.0266,78.89,32,10,14.32,clear sky
553,Antofagasta,CL,-23.65,-70.4,56.48,76,46,2.06,scattered clouds
554,Ayorou,NE,14.7308,0.9174,92.61,40,61,16.58,broken clouds
555,Conselheiro Lafaiete,BR,-20.6603,-43.7861,72.97,37,54,5.57,broken clouds
556,Sura,RU,53.8879,45.7419,64.04,67,96,15.61,overcast clouds
557,Ancud,CL,-41.8697,-73.8203,50.43,96,100,8.3,light rain
558,Boda,CF,4.3189,17.4695,87.57,57,94,1.39,overcast clouds
559,Golkoy,TR,40.6875,37.6178,63.81,60,23,7.25,few clouds
560,Oktyabrskiy,RU,54.4815,53.471,50.23,91,100,19.75,overcast clouds
561,Donskoye,RU,45.4552,41.9741,73.71,37,0,14.65,clear sky
562,Ponta Delgada,PT,37.7333,-25.6667,75.92,73,20,10.36,few clouds
563,Nuoro,IT,40.3211,9.3297,76.26,44,47,8.55,scattered clouds
564,Bubaque,GW,11.2833,-15.8333,81.57,77,9,6.87,clear sky
565,Krasnoselkup,RU,65.7,82.4667,46.42,86,100,12.03,overcast clouds
566,Port Hawkesbury,CA,45.6169,-61.3485,71.58,88,75,5.01,broken clouds
567,Wadi Musa,JO,30.3222,35.4793,87.24,14,0,10.56,clear sky
568,Dawlatabad,AF,36.4141,64.9053,93.96,13,0,14.23,clear sky
569,Touros,BR,-5.1989,-35.4608,85.1,57,11,16.51,few clouds
570,Sao Jose De Piranhas,BR,-7.1206,-38.5019,84.79,35,13,5.77,few clouds
571,Hemsedal,NO,60.8629,8.5534,66.9,57,99,5.39,overcast clouds
572,Bajil,YE,15.0584,43.2851,99.39,31,55,7.63,broken clouds
573,Vihti,FI,60.417,24.3197,70.79,72,63,14.0,broken clouds
574,Gunjur,GM,13.2019,-16.7339,91.47,75,40,8.05,scattered clouds
575,Ballina,AU,-28.8667,153.5667,64.58,68,1,12.66,clear sky
576,Ilhabela,BR,-23.7781,-45.3581,76.82,78,94,1.34,overcast clouds
577,Savalou,BJ,7.9281,1.9756,84.9,63,84,5.97,broken clouds
578,Nalut,LY,30.3333,10.85,94.12,18,1,4.97,clear sky
579,Chapleau,CA,47.8405,-83.4034,51.89,93,90,5.75,overcast clouds
580,Nueva Loja,EC,0.0847,-76.8828,75.22,94,0,1.14,clear sky
581,Turukhansk,RU,65.8167,87.9833,50.83,90,100,10.49,light rain
582,Port-Cartier,CA,50.0334,-66.8654,57.42,99,100,1.77,overcast clouds
583,Menongue,AO,-14.6585,17.691,95.88,9,23,7.34,few clouds
584,Monte Gordo,PT,37.1819,-7.4523,76.95,54,10,7.25,clear sky
585,Zhanaozen,KZ,43.3,52.8,63.43,38,91,7.81,overcast clouds
586,Alberton,CA,46.8168,-64.0654,67.91,84,51,16.26,broken clouds
587,Urumqi,CN,43.801,87.6005,85.15,19,0,6.71,clear sky
588,Tacuarembo,UY,-31.7333,-55.9833,49.98,91,100,21.63,overcast clouds
589,Pankrushikha,RU,53.8319,80.3406,55.15,50,99,14.32,overcast clouds
590,Watsa,CD,3.0372,29.5355,76.53,79,77,5.48,moderate rain
591,Hovin,NO,63.1055,10.225,55.96,97,100,4.97,overcast clouds
592,Karpathos,GR,35.507,27.2132,78.76,61,40,24.16,scattered clouds
593,Ornskoldsvik,SE,63.2909,18.7153,56.35,82,90,2.3,overcast clouds
594,Koeru,EE,58.9631,26.0308,71.6,53,14,13.65,few clouds
595,Beisfjord,NO,68.3751,17.5988,52.25,88,100,4.45,overcast clouds
596,Malanje,AO,-9.5402,16.341,82.78,61,75,0.0,broken clouds
597,Shieli,KZ,44.1667,66.75,73.62,15,0,17.74,clear sky
598,Dolores,AR,-36.3132,-57.6792,55.29,93,100,19.33,overcast clouds
599,Kralupy Nad Vltavou,CZ,50.2411,14.3115,79.45,36,0,6.91,clear sky
600,Wattegama,LK,6.7989,81.4808,88.72,48,28,5.37,scattered clouds
601,Thinadhoo,MV,0.5333,72.9333,83.12,68,46,2.77,scattered clouds
602,Kemijarvi,FI,66.7131,27.4306,51.71,57,65,8.05,broken clouds
603,Svolvaer,NO,68.2342,14.5683,52.38,76,75,8.05,broken clouds
604,Barra Do Garcas,BR,-15.89,-52.2567,86.58,54,0,5.75,clear sky
605,Mosquera,CO,4.7059,-74.2302,52.48,81,51,4.41,broken clouds
606,Salym,RU,60.0625,71.4789,50.07,59,94,5.79,overcast clouds
607,Labelle,US,26.7617,-81.4384,82.98,88,24,3.78,few clouds
608,La Union,PE,-5.4,-80.75,62.17,86,39,10.13,scattered clouds
609,Black River,JM,18.0264,-77.8487,82.4,81,20,3.53,few clouds
610,Banjar,ID,-8.19,114.9675,80.46,90,95,4.38,overcast clouds
611,Gogrial,SS,8.5332,28.1004,84.45,69,83,6.58,moderate rain
612,Pore,CO,5.7272,-71.9947,75.15,76,76,2.46,broken clouds
613,Charyshskoye,RU,51.3978,83.5598,54.88,44,48,5.12,scattered clouds
614,Razole,IN,16.4833,81.8333,95.29,74,99,5.77,overcast clouds
615,Tambovka,RU,50.0969,128.0489,60.91,95,100,6.93,overcast clouds
616,Svetlyy,RU,54.675,20.1347,75.25,47,19,9.22,few clouds
617,Concordia,AR,-31.393,-58.0209,51.87,93,90,23.02,drizzle
618,Turbat,PK,26.0023,63.044,107.22,15,87,11.43,overcast clouds
619,Springdale,US,36.1867,-94.1288,58.82,92,1,0.0,clear sky
620,Nauta,PE,-4.5061,-73.5757,74.07,94,36,1.52,scattered clouds
621,Saedinenie,BG,42.2667,24.55,68.2,77,90,11.5,moderate rain
622,Turayf,SA,31.6725,38.6637,95.25,18,0,9.22,clear sky
623,Buchanan,LR,5.8808,-10.0467,82.67,74,81,8.05,light rain
624,Bjornevatn,NO,69.6672,29.9847,46.02,76,75,11.5,broken clouds
625,Abadan,IR,30.3392,48.3043,111.15,8,0,19.57,clear sky
626,Kalengwa,ZM,-13.4659,25.0027,94.03,9,9,10.71,clear sky
627,Glinka,RU,54.6404,32.8781,66.16,63,83,9.62,broken clouds
628,Chanika,TZ,-5.4167,38.0167,80.85,42,73,10.45,broken clouds
629,Barcelos,PT,41.5388,-8.6151,74.84,69,86,7.56,overcast clouds
630,Beni,CD,0.5,29.4667,80.62,50,58,4.54,broken clouds
631,Osakarovka,KZ,50.565,72.5692,59.92,24,56,16.13,broken clouds
632,Ciudad Bolivar,VE,8.1222,-63.5497,78.49,80,90,6.67,overcast clouds
633,Minchinabad,PK,30.163,73.5685,93.99,45,94,10.54,light rain
634,Ugoofaaru,MV,5.6667,73.0,83.19,69,34,8.88,scattered clouds
635,Talara,PE,-4.5772,-81.2719,64.56,82,85,14.12,overcast clouds
636,Nicoya,CR,10.1483,-85.452,72.95,95,100,1.21,light rain
637,Beberibe,BR,-4.1797,-38.1306,84.24,47,24,13.8,few clouds
638,Trofors,NO,65.5333,13.4063,55.27,65,75,5.97,broken clouds
639,Nouadhibou,MR,20.931,-17.0347,78.78,69,48,16.11,scattered clouds
640,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.93,74,75,7.92,broken clouds
641,Matara,LK,5.9485,80.5353,81.59,80,50,12.12,scattered clouds
642,Vallenar,CL,-28.5708,-70.7581,61.92,32,24,3.09,few clouds
643,Miastko,PL,54.0028,16.9826,78.24,27,9,12.19,clear sky
644,Sirjan,IR,29.452,55.6814,88.3,9,12,17.9,few clouds
645,Dortmund,DE,51.5167,7.45,86.05,55,0,4.0,clear sky
646,Hobyo,SO,5.3505,48.5268,82.29,70,28,30.87,scattered clouds
647,Key Largo,US,25.0865,-80.4473,82.99,75,22,4.83,few clouds
648,Katete,UG,-0.7818,29.7544,80.44,46,78,4.07,broken clouds
649,Uruacu,BR,-14.5247,-49.1408,90.61,19,61,6.11,broken clouds
650,Kaduqli,SD,11.0167,29.7167,84.87,61,91,7.07,overcast clouds
651,Shelburne,CA,44.0787,-80.2041,55.85,90,39,6.8,scattered clouds
652,Uruzgan,AF,32.8333,66.0,90.57,8,0,6.73,clear sky
653,Icatu,BR,-2.7758,-44.0658,84.63,62,56,8.37,broken clouds
654,Maceio,BR,-9.6658,-35.7353,81.84,74,75,4.61,broken clouds
655,Sergeyevka,KZ,53.88,67.4158,59.88,44,91,13.91,overcast clouds
656,Barra Velha,BR,-26.6322,-48.6847,73.09,91,99,2.84,overcast clouds
657,Farafangana,MG,-22.8167,47.8333,75.13,67,0,9.91,clear sky
658,Lola,GN,7.8,-8.5333,83.23,70,96,4.29,light rain
659,Concepcion,CL,-36.827,-73.0498,42.6,100,0,3.44,clear sky
660,Umkomaas,ZA,-30.2067,30.7978,73.6,59,26,9.91,scattered clouds
661,Mahibadhoo,MV,3.7833,72.9667,82.98,68,53,5.99,broken clouds
662,Ust-Tsilma,RU,65.441,52.1498,42.71,96,100,11.81,overcast clouds
663,Birao,CF,10.2849,22.7882,81.54,72,99,2.37,overcast clouds
664,Pontes E Lacerda,BR,-15.2261,-59.3353,75.6,57,30,5.99,scattered clouds
665,Aosta,IT,45.7667,7.4167,60.89,57,80,5.99,broken clouds
666,Neusiedl Am See,AT,47.9357,16.8325,82.65,20,17,18.12,few clouds
667,Saint-Joseph,RE,-21.3667,55.6167,75.56,74,19,8.25,few clouds
668,Great Yarmouth,GB,52.6083,1.7305,81.95,59,84,10.04,broken clouds
669,Paragominas,BR,-2.9667,-47.4833,81.5,66,33,6.02,scattered clouds
670,Waw,SS,7.7029,27.9953,86.04,56,90,6.2,overcast clouds
671,Azul,AR,-36.777,-59.8585,49.14,92,100,24.43,light rain
672,Bonfim,BR,3.0833,-59.95,81.23,70,33,4.45,scattered clouds
673,Mumbwa,ZM,-14.9783,27.0619,89.29,13,0,11.97,clear sky
674,Riberalta,BO,-10.9833,-66.1,80.8,78,75,0.0,smoke
675,Velyka Bilozerka,UA,47.2776,34.7062,76.1,20,0,6.64,clear sky
676,Sackville,CA,45.9188,-64.3846,68.47,79,62,10.56,broken clouds
677,Bethanien,NA,-26.502,17.1583,88.36,5,6,14.27,clear sky
678,Tabriz,IR,38.08,46.2919,81.86,30,20,11.5,few clouds
679,San Andres,CO,12.5847,-81.7006,80.62,89,75,6.91,broken clouds
680,Bulancak,TR,40.9372,38.2291,73.22,73,75,3.44,broken clouds
681,Ocean City,US,39.2776,-74.5746,70.0,91,100,3.0,overcast clouds
682,Kiruna,SE,67.8557,20.2251,49.12,57,20,9.22,few clouds
683,Gayny,RU,60.3071,54.3241,53.15,88,93,10.98,overcast clouds
684,Iracoubo,GF,5.4802,-53.2011,82.65,77,21,8.48,few clouds
685,Taltal,CL,-25.4,-70.4833,56.21,74,27,1.32,scattered clouds
686,Najran,SA,17.4924,44.1277,97.45,9,53,14.52,broken clouds
687,Taywarah,AF,33.35,64.4167,75.81,11,0,5.95,clear sky
688,Umm Bab,QA,25.2142,50.8072,107.28,41,21,18.86,few clouds
689,Bouake,CI,7.6895,-5.0218,77.11,100,90,9.22,overcast clouds
690,Pastos Bons,BR,-6.6017,-44.0767,88.25,35,25,10.51,scattered clouds
691,Maldonado,UY,-34.6667,-54.9167,54.79,93,100,9.69,overcast clouds
692,Mocuba,MZ,-16.8392,36.9856,91.96,25,0,11.81,clear sky
693,Rafai,CF,4.95,23.9167,93.42,35,66,2.93,broken clouds
694,Porto Novo,BJ,6.4965,2.6036,85.82,60,76,9.19,broken clouds
695,Key West,US,24.5557,-81.7826,86.0,70,40,6.91,scattered clouds
696,Dalbandin,PK,28.8947,64.4101,101.88,7,12,10.49,few clouds
697,Lana,IT,46.6124,11.1559,81.01,41,8,4.72,clear sky
698,Sardarshahr,IN,28.4333,74.4833,91.42,51,85,13.2,overcast clouds
699,Grand-Santi,GF,4.25,-54.3833,77.94,87,62,2.89,broken clouds
700,Bisert,RU,56.8617,59.0523,46.99,95,100,15.5,overcast clouds
701,Hambantota,LK,6.1241,81.1185,89.94,58,20,12.66,few clouds
